id,created_at,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
1969868394645028959,2025-09-21 20:56:38+00:00,['1969868394645028959'],"Three goals and three points for Barça! 🦈

Who’s been your Man of the Match? https://t.co/Kp4Q21iqNc",1054,528,22840,27,70,763639,22840,1054,20
1969866193390436384,2025-09-21 20:47:53+00:00,['1969866193390436384'],🔵🔴 Two goals and two assists for Marcus Rashford in the last three games. https://t.co/lX26Alb5j1,3662,764,71946,172,363,1529509,71946,3662,20
1969839888527761900,2025-09-21 19:03:21+00:00,['1969839888527761900'],"🚨💙 Pep Guardiola: “Arsenal are a team that have fought for the last two Premier League’s to win it. They arrived in the semi-finals of the Champions League”.

“It’s not just Man City that invests money, as they did it as well. So tough. We were there”. https://t.co/hhEOAkTc1w",1446,502,28760,38,195,1443836,28760,1446,19
1969837601206255973,2025-09-21 18:54:16+00:00,['1969837601206255973'],"❤️🤍 Mikel Arteta: “Gabriel Martinelli probably deserved to play and didn’t. Instead of moaning, he comes with an unbelievable energy to help the team to get a point”.

“Eberechi Eze, the same.” ⚡️ https://t.co/4oilyAQ3qC",2214,587,44111,180,252,1329259,44111,2214,18
1969836832658428156,2025-09-21 18:51:13+00:00,['1969836832658428156'],"❤️🤍 Arteta: “I’m very proud of the team. We dominated them, and I’m very disappointed with the result”.

“It was so unfair to concede that goal, and after we dominated again”. https://t.co/cxm5QdtAAT",1210,1245,23717,380,177,1659164,23717,1210,18
1969817518723240427,2025-09-21 17:34:28+00:00,['1969817518723240427'],"Points shared at Emirates Stadium ⚖️

Who’s been your Man of the Match? https://t.co/t1QHmCLC4S",1100,1016,24223,83,86,1294483,24223,1100,17
1969809498237014324,2025-09-21 17:02:36+00:00,"['1969802805964607919', '1969809498237014324']","🚀🇲🇨 Three goals in the last two games for Ansu Fati at AS Monaco, impact from the bench today in Ligue1. https://t.co/mFzOuUbsme",2710,553,46407,255,223,1473470,46407,2710,17
1969802017146298454,2025-09-21 16:32:52+00:00,['1969802017146298454'],"RT @gamdomsport: ❌ Eze
❌ Zubimendi
❌ Foden
❌ Dias
❌ Raya

Some big names miss out of our Arsenal x Man City Combined XI… 👀

What changes wo…",209,0,0,0,0,0,0,209,16
1969797743603253349,2025-09-21 16:15:53+00:00,['1969797743603253349'],"3 draws, 1 win, 1 defeat with 𝟔 𝐩𝐨𝐢𝐧𝐭𝐬 𝐢𝐧 𝟓 𝐠𝐚𝐦𝐞𝐬 for Atlético Madrid 🔴⚪️

Who’s been your Man of the Match? https://t.co/Gy4hyvLmIU",992,486,21649,124,112,1217443,21649,992,16
1969789135050182678,2025-09-21 15:41:41+00:00,"['1969788960248668403', '1969789135050182678']","👽🇳🇴 6 games with Man City this season, 7 goals for Erling Haaland.

13 goals in 8 games with club and country. Insane form. 🚀 https://t.co/WpWt4cY537",2476,740,39966,135,167,1169491,39966,2476,15
1969768265632334153,2025-09-21 14:18:45+00:00,['1969768265632334153'],"🚨🔙 Bukayo Saka, back from injury as he’s on the bench for Arsenal against Man City today. https://t.co/r4OxuK12cb",1348,566,28614,43,78,1134011,28614,1348,14
1969735494625087678,2025-09-21 12:08:32+00:00,['1969735494625087678'],"❤️©️ Bruno Fernandes: “It's very tough for some players to become Man United players because this can be very heavy to come out of this tunnel and get out there”.

“Remember it’s a privilege for everyone and everyone is very proud to wear the shirt”. https://t.co/fhWfGZREQN",2599,714,36494,70,240,1227963,36494,2599,12
1969735477709164882,2025-09-21 12:08:28+00:00,['1969735477709164882'],"🟡🔵 Leeds United, very happy with the investment made on Noah Okafor as he scored his first PL goal.

“With Daniel Farke, he gives me this feeling to get my confidence back again”, Okafor says. https://t.co/92seuI0xzv",793,273,16468,24,73,909842,16468,793,12
1969499968579719471,2025-09-20 20:32:38+00:00,['1969499968579719471'],"❤️©️ Bruno on scoring 100 goals for Man United: “Big moment for me to reach that milestone for a massive club, I won't hide from that”.

“If I can get more goals to help the team that's what matters the most”, told Sky. https://t.co/SZrNg3kDke",1654,470,27086,35,99,1092017,27086,1654,20
1969499757799239883,2025-09-20 20:31:48+00:00,['1969499757799239883'],"🚨 Rúben Amorim: “Three points. It’s trying to create the momentum”.

“We cannot forget that we suffer a lot when we are not in the top, in our maximum in all aspects”.

“We can lose against Grimsby, we can win against any team. We need to take that for the next week”. https://t.co/nDq3aJuyXK",1597,630,28878,116,163,1452842,28878,1597,20
1969496379828457688,2025-09-20 20:18:23+00:00,['1969496379828457688'],"🚨 Maresca on Garnacho not playing. “We sent him to warm up because the idea was to give Alejandro minutes”.

“But Wes Fofana asked to be changed so we decided to go with Malo Gusto”. https://t.co/CYe5aDuwZW",2105,1003,47259,191,253,2200042,47259,2105,20
1969495890327978056,2025-09-20 20:16:26+00:00,['1969495890327978056'],"🚨⚠️ Maresca on Cole Palmer’s injury: “It's a problem for a long time for him, his groin”.

“Cole was not 100% ready but he wanted to play this game… so the effort is huge but after 20 minutes, he decided it was too much”. https://t.co/zBKtmtjqy2",2460,717,47970,432,356,3374692,47970,2460,20
1969495677181870196,2025-09-20 20:15:35+00:00,['1969495677181870196'],"🚨 Maresca: “It was better to let Mbeumo score than getting the red card”.

“We still had 95 minutes to play… Robert Sánchez is aware of that. It's difficult… but if you ask me, I prefer to be one goal down after five minutes than one player down”. https://t.co/aT1qiyvRRd",7228,2454,113229,1032,1226,4732064,113229,7228,20
1969494820780458043,2025-09-20 20:12:11+00:00,['1969494820780458043'],"🤍🔙 Jude Bellingham: “Missed this and all of you so much. Truly humbled by the love you gave me in the stadium today and the support from everyone throughout my recovery, it means the world to me”.

“Now for more. Hala Madrid!”. https://t.co/QnkcGLcHyQ",1257,366,25804,26,114,1137159,25804,1257,20
1969470602479042944,2025-09-20 18:35:57+00:00,['1969470602479042944'],"Man United beat Chelsea! 🛑

Who’s been your Man of the Match? https://t.co/W1kcZjtWWi",3826,2323,53263,430,281,2159096,53263,3826,18
1969444063699976322,2025-09-20 16:50:29+00:00,"['1969443541203001570', '1969444063699976322']",🛑🇵🇹 200 PL games for Manchester United and 100 goals now… Bruno Fernandes. ©️ https://t.co/5ahvpSzVcb,4978,605,68775,289,369,1794635,68775,4978,16
1969434782485405805,2025-09-20 16:13:37+00:00,['1969434782485405805'],"5 games, 5 wins, 15 points! Real Madrid are flying under Xabi Alonso. 🚀

Who’s been your Man of the Match? https://t.co/B5Q67KLSzV",2758,779,46889,99,169,1321262,46889,2758,16
1969434545695994166,2025-09-20 16:12:40+00:00,['1969434545695994166'],"🤍🔛 Jude Bellingham, back on the pitch after shoulder surgery! Camavinga is also back. https://t.co/HMLlEYTT4c",1169,327,29253,24,113,1116133,29253,1169,16
1969430276506812496,2025-09-20 15:55:42+00:00,['1969430276506812496'],"Points shared between Spurs and Brighton at Amex Stadium! 🟰

Who’s been your Man of the Match? https://t.co/9BtcERDtaX",978,444,18811,24,73,1018334,18811,978,15
1969423199478628640,2025-09-20 15:27:35+00:00,['1969423199478628640'],🤍🚀 One more golazo for Kylian Mbappé as he reaches 7 goals in 6 games with Real Madrid! https://t.co/x27pUKUsnr,2485,665,53823,83,207,1330134,53823,2485,15
1969420038462378075,2025-09-20 15:15:01+00:00,['1969420038462378075'],❤️🤍 11 G/A in the last 4 games for Harry Kane… one more hat-trick scored today. 🌪️ https://t.co/32O0H6Wred,3234,851,50346,364,287,2035517,50346,3234,15
1969391958989652190,2025-09-20 13:23:27+00:00,['1969391958989652190'],"Liverpool win the Merseyside derby! ❤️🍿

Who’s been your Man of the Match? https://t.co/jtvKpfOeL6",1714,1265,33040,98,145,1243563,33040,1714,13
1969371447723184238,2025-09-20 12:01:56+00:00,['1969371447723184238'],"🛑🚀 Hugo Ekitike has already reached 3 Premier League goals and 1 assist in 330 minutes as Liverpool player.

Goal and assist for Ryan Gravenberch, once again key for the Reds. ✨🇳🇱 https://t.co/2lBB58Mff3",3721,838,64040,143,319,2077648,64040,3721,12
