text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
"@Joshua07943341 Hi Joshua, can you confirm if you are still able to access your account? Keep us posted.",['1977022115703312700'],2025-10-11 14:42:58+00:00,1977022115703312700,0,2,0,0,0,14,0,0,14
"@SajidSayyad1264 Hi Sajid. If they send us a tweet, we'll see what we can do to help. In the meantime, make sure they've completed the steps at https://t.co/CJQaJUw3RV. Thanks.",['1977021303413436830'],2025-10-11 14:39:44+00:00,1977021303413436830,0,0,1,0,0,10,1,0,14
"@mehdi_mz5 Hi Mehdi. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1977006635454198156'],2025-10-11 13:41:27+00:00,1977006635454198156,0,0,1,0,0,8,1,0,13
@Ashadul4x Hi there. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1977005867640701138'],2025-10-11 13:38:24+00:00,1977005867640701138,0,0,1,0,0,12,1,0,13
@RajeevKuma26110 Got it. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976999931819823154'],2025-10-11 13:14:49+00:00,1976999931819823154,0,0,0,0,0,9,0,0,13
@usa_franci94172 Understood. Let's see what we can do to help. Look out for a DM with next steps.,['1976994633319104818'],2025-10-11 12:53:46+00:00,1976994633319104818,0,0,1,0,0,17,1,0,12
"@friz_marina Hmm. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",['1976993621166411823'],2025-10-11 12:49:44+00:00,1976993621166411823,0,5,1,0,0,12,1,0,12
"@abdaaif00987 Hmm. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976992623786074357'],2025-10-11 12:45:46+00:00,1976992623786074357,0,4,1,0,0,10,1,0,12
@choubey_keep Got it. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976990423882035553'],2025-10-11 12:37:02+00:00,1976990423882035553,0,0,1,0,0,8,1,0,12
"@friz_marina Hi Marina, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976987617091571789'],2025-10-11 12:25:53+00:00,1976987617091571789,0,3,1,0,0,21,1,0,12
@RocksDAura @GoogleIndia @GoogleWorkspace @RocksDAura Hi there. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976981997835665454'],2025-10-11 12:03:33+00:00,1976981997835665454,0,0,1,0,0,16,1,0,12
@LawraB26327 Hmm. Let's see what we can do to help. Look out for a DM with next steps.,['1976978888803680590'],2025-10-11 11:51:12+00:00,1976978888803680590,0,0,1,0,0,12,1,0,11
@Nikanorberto @gmail @Nikanorberto Hi Norbert. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976975066001797425'],2025-10-11 11:36:00+00:00,1976975066001797425,0,2,2,0,0,30,2,0,11
