edit_history_tweet_ids,id,created_at,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
['1976913158083068007'],1976913158083068007,2025-10-11 07:30:00+00:00,あいつとポテナゲするまで知らなかったこと https://t.co/nG0hGCAGAd,133,61,1590,17,39,326699,1590,133,7
['1976905611389329675'],1976905611389329675,2025-10-11 07:00:01+00:00,"サムライマック®︎炙り醤油風 トリプル肉厚ビーフは、期間限定・夕方5時から販売中！

Cast：池田瑛紗(乃木坂46)

#サムライマック #池田瑛紗 #乃木坂46 https://t.co/CLNH1mwu9y",93,25,584,4,21,203568,584,93,7
['1976905609111887963'],1976905609111887963,2025-10-11 07:00:00+00:00,"池田瑛紗さんにご出演いただいている
バトル動画はこちら↓
https://t.co/YaE8qMJD26",90,18,568,2,21,371737,568,90,7
['1976905606855266744'],1976905606855266744,2025-10-11 07:00:00+00:00,"サムライマック®︎のトリプル肉厚ビーフ、
期間限定・夕方5時から。逃さず食してね。 https://t.co/42DkJIBihu",829,83,7121,61,377,384729,7121,829,7
['1976845208554741931'],1976845208554741931,2025-10-11 03:00:00+00:00,沙莉さんの三角チョコパイ顔隠しです。 https://t.co/B6NoZ0F3An,344,59,9435,50,78,439666,9435,344,3
['1976815010354512266'],1976815010354512266,2025-10-11 01:00:00+00:00,"月面着陸計画って、
なんかかっこいい名前がついていたような…？ https://t.co/QaFdLo4Xm1",67,41,784,6,17,263201,784,67,1
['1976807460204646872'],1976807460204646872,2025-10-11 00:30:00+00:00,もう、はじめた？,78,45,662,4,19,273403,662,78,0
['1976573418158899660'],1976573418158899660,2025-10-10 09:00:00+00:00,熱狂のお供に、おトクなセットはいかが？ https://t.co/BuFy6JtA8N,329,54,2128,12,69,382775,2128,329,9
['1976565870076809301'],1976565870076809301,2025-10-10 08:30:00+00:00,"大人気ミニチュア作家、
田中達也さんの絵本が登場！

詳しくは→ https://t.co/Fbsy1jMG3J https://t.co/VhY375LLSg",1560,76,7154,520,795,2565779,7154,1560,8
['1976565869103734790'],1976565869103734790,2025-10-10 08:30:00+00:00,"表紙の圧がスゴイ…。

詳しくは→ https://t.co/Fbsy1jMG3J https://t.co/jFuuim2xv2",289,49,1226,99,68,382541,1226,289,8
['1976558320245715250'],1976558320245715250,2025-10-10 08:00:00+00:00,三角チョコパイの定番、黒を図解します。 https://t.co/PEmguYXdyD,492,46,7980,72,132,385895,7980,492,8
['1976543217920217335'],1976543217920217335,2025-10-10 07:00:00+00:00,"池田瑛紗
vs
サムライマック®︎
炙り醤油風 トリプル肉厚ビーフ https://t.co/RmWkvpWQ0L",2386,161,15426,378,1889,786909,15426,2386,7
['1976497920024219739'],1976497920024219739,2025-10-10 04:00:00+00:00,"10/17(金)から！
“パン”パカパーン！
2020年にしゅっ“パン”された #パンどろぼう が、ついにハッピーセット®に初登場！
マクドナルドジャ“パン”限定！ https://t.co/T18xkApggp",4572,162,26220,1734,1838,2516365,26220,4572,4
['1976497919365693458'],1976497919365693458,2025-10-10 04:00:00+00:00,"10/17(金)から！
もうすぐハッピーセット®に #トムとジェリー がやってくるー😺🐭 https://t.co/Bn7U7g6SQl",931,53,5414,238,298,615482,5414,931,4
['1976490373296894286'],1976490373296894286,2025-10-10 03:30:01+00:00,みんなでおいしくー？ https://t.co/8qstGnrrzw,449,46,4149,30,117,384740,4149,449,3
['1976482822849282139'],1976482822849282139,2025-10-10 03:00:00+00:00,NAOKOさんの三角チョコパイ顔隠しです。 https://t.co/nS1L4SOKBj,2140,114,33855,341,521,938408,33855,2140,3
['1976475271235604491'],1976475271235604491,2025-10-10 02:30:00+00:00,"どっちも食べるってのもあり！？

※オリジナルパッケージは数量限定のため、各店舗でなくなり次第終了となります。 https://t.co/ygeS99xl6O",307,57,2641,32,62,296702,2641,307,2
['1976422422887706786'],1976422422887706786,2025-10-09 23:00:00+00:00,"本日10/10(金)からプラレール全種類が登場！
こんな夢の連結もできちゃいます。 https://t.co/DHr7snoOBS",99,68,824,14,22,313419,824,99,23
['1976414873962561702'],1976414873962561702,2025-10-09 22:30:00+00:00,"食べられる寸前に、
てりやきマックバーガーが見る走馬灯。 https://t.co/jKVvD5N9K4",262,121,2469,28,50,384626,2469,262,22
['1976195933030207928'],1976195933030207928,2025-10-09 08:00:01+00:00,三角チョコパイ いちごミルク味を図解します。 https://t.co/tsUGMCCJS6,850,90,12074,206,253,629330,12074,850,8
['1976180836211753087'],1976180836211753087,2025-10-09 07:00:01+00:00,"サムライマック®︎炙り醤油風 トリプル肉厚ビーフは、期間限定・夕方5時から販売中！

Cast：池田瑛紗(乃木坂46)

#サムライマック #池田瑛紗 #乃木坂46 https://t.co/HJT1spS6H0",123,19,809,18,23,259321,809,123,7
['1976180833586147469'],1976180833586147469,2025-10-09 07:00:01+00:00,"池田瑛紗さんにご出演いただいている
バトル動画はこちら↓
https://t.co/YaE8qMJD26",148,18,871,8,61,461179,871,148,7
['1976180831145058477'],1976180831145058477,2025-10-09 07:00:00+00:00,"Samurai Mac®︎!!
Triple!!! https://t.co/NVohx6Eg1z",934,75,7367,72,490,497009,7367,934,7
['1976135532787757157'],1976135532787757157,2025-10-09 04:00:00+00:00,モバイルオーダー、マックデリバリー®サービスを使ってる人ー！はじめないと勿体ないですよ。,111,62,1113,7,54,491765,1113,111,4
['1976120432727118249'],1976120432727118249,2025-10-09 03:00:00+00:00,三角チョコパイ、今年のパッケージは「うさぎ」です。 https://t.co/PazHNvyCKO,12193,175,88271,3022,2485,4981532,88271,12193,3
['1976097784647356785'],1976097784647356785,2025-10-09 01:30:00+00:00,"あなたも一緒にくるまックできちゃう素材
つくっちゃいました。 https://t.co/j04vjJMsv6",305,100,2071,142,132,1120060,2071,305,1
['1976052484356379079'],1976052484356379079,2025-10-08 22:30:00+00:00,https://t.co/ZesREGSMcF,666,156,6830,113,174,728649,6830,666,22
['1975833542782255372'],1975833542782255372,2025-10-08 08:00:00+00:00,"SAIRI＆NAOKOのキレキレダンスにご注目ください。
(みなさんも踊ってみてください)

#SankakuChocoPie_DanceChallenge https://t.co/LDvqDK4OD9",2954,212,35754,407,2264,3145348,35754,2954,8
['1975795794784419976'],1975795794784419976,2025-10-08 05:30:00+00:00,マックフルーリー®︎ マイメロディ＆クロミは、ブルーベリーヨーグルト味！ https://t.co/hqLVi8SqdS,124,64,1458,14,22,417771,1458,124,5
['1975765594558325216'],1975765594558325216,2025-10-08 03:30:00+00:00,"10/15(水)20:30〜は #青いリアタイマクパ ！
みんな準備はいい？",324,49,2422,19,43,389805,2422,324,3
['1975742951234961474'],1975742951234961474,2025-10-08 02:00:01+00:00,"サムライマック®︎炙り醤油風 トリプル肉厚ビーフは本日10/8(水)夕5時方から期間限定・販売開始！

Cast：池田瑛紗(乃木坂46)
3DCG：nagafujiriku( @nagafujiriku )
Bass Guitar：OK bass( @okbassniconico )

#サムライマック #池田瑛紗 #乃木坂46 https://t.co/3Z4GSmx9CJ",1037,45,5007,126,387,470233,5007,1037,2
['1975742947854311574'],1975742947854311574,2025-10-08 02:00:00+00:00,巨大ロボ vs 池田瑛紗 vs サムライマック®︎ https://t.co/c8wX3eqis8,2930,167,14153,630,1658,2259974,14153,2930,2
['1975735395485638749'],1975735395485638749,2025-10-08 01:30:00+00:00,本日10/8(水)から、三角チョコパイの季節です！ https://t.co/Z5963oov1T,10310,216,70321,4051,1763,3587881,70321,10310,1
['1975727846589907007'],1975727846589907007,2025-10-08 01:00:00+00:00,"元クルーだった彼女が語る、マクドナルド愛。
この放送はまさに「堂々らぶそんぐ」です。

#セントチヒロ・チッチ × #ミュージックバリュー",289,35,2026,48,59,517452,2026,289,1
['1975720298314969366'],1975720298314969366,2025-10-08 00:30:00+00:00,"お待たせしました。
トリプル肉厚ビーフ。
本日10/8(水)から販売です！！！ https://t.co/f0JWLiNaT0",1372,135,6657,355,195,629472,6657,1372,0
['1975712748609651082'],1975712748609651082,2025-10-08 00:00:00+00:00,あれ、空が暗くなってきた？？,76,44,866,3,21,336026,866,76,0
['1975697649824055447'],1975697649824055447,2025-10-07 23:00:01+00:00,"・・・・・・・・・・・・・・・・・・
・・・・・・・・・・・・・・・・・・
・・・・・・・！！！！！！
！！！！！！！！！
！！！！！！ https://t.co/uxuR6HTAbA https://t.co/AWKjVPePR0",336,122,3270,45,143,1345718,3270,336,23
['1975682548576485646'],1975682548576485646,2025-10-07 22:00:00+00:00,"炙り醤油風 トリプル肉厚ビーフが
本日販売開始！

【#食欲の秋だトリプル肉厚ビーフ】をつけて本日10/8(水)中にリプライすると、抽選で100名様に1,000円分のマックカードが当たる！",10179,17811,16579,2437,476,1900813,16579,10179,22
['1975478704122867778'],1975478704122867778,2025-10-07 08:30:00+00:00,今夜もポテナゲとコーク日和 https://t.co/0YhLeysXMj,372,58,3639,17,51,795126,3639,372,8
['1975471155667444093'],1975471155667444093,2025-10-07 08:00:00+00:00,SAIRI＆NAOKOの三角チョコパイ、テレビCM放映開始！ https://t.co/r7spJJVe3y,1652,83,16835,143,386,931693,16835,1652,8
['1975463604817121571'],1975463604817121571,2025-10-07 07:30:00+00:00,"マックチキン®セットの壁紙セット！
ランダム表示で使ってね
#セット500
#500円台のセットが5種類 https://t.co/k92lHk9ABm",595,86,5322,41,768,675973,5322,595,7
['1975410759103373613'],1975410759103373613,2025-10-07 04:00:00+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
#セット500 #500円台のセットが5種類
https://t.co/9nsbBgcSYQ",167,17,1009,2,39,533502,1009,167,4
['1975410756674822267'],1975410756674822267,2025-10-07 04:00:00+00:00,"平日も土日もずっとおトクな『セット500』！
#櫻坂46 #谷口愛季 https://t.co/KYusfMXzHT",1152,70,9317,56,277,474372,9317,1152,4
['1975403206810173464'],1975403206810173464,2025-10-07 03:30:00+00:00,"チッチッチッチッ…⏰

10/8(水)〜
#ミュージックバリュー
※一部店舗では放送しておりません。 https://t.co/YrBoHN0HvD",384,153,3254,337,95,1426403,3254,384,3
['1975380557707006373'],1975380557707006373,2025-10-07 02:00:00+00:00,三角チョコパイ、発売まであと1日！ https://t.co/mgnXiwhiSG,1992,107,18343,716,223,1005959,18343,1992,2
['1975335259853017101'],1975335259853017101,2025-10-06 23:00:00+00:00,・・・・・・・・・・・・・ https://t.co/0g1ngRJInO,410,163,3659,106,105,1947469,3659,410,23
['1975327709807964390'],1975327709807964390,2025-10-06 22:30:00+00:00,1989年生まれなのですが、同級生探してます。 https://t.co/cUn6acZxij,333,162,2529,211,84,652484,2529,333,22
['1975320159922294891'],1975320159922294891,2025-10-06 22:00:00+00:00,"炙り醤油風 トリプル肉厚ビーフが
明日10/8(水)から販売開始！

【#キマシタワートリプル肉厚ビーフ】をつけて本日10/7(火)中にリプライすると、抽選で100名様に1,000円分のマックカードが当たる！",10012,17465,16240,2945,658,3269719,16240,10012,22
['1975131415101452343'],1975131415101452343,2025-10-06 09:30:00+00:00,訳：Myマクドナルド リワードはじめましたか？,187,79,1785,16,46,461462,1785,187,9
['1975108766694531330'],1975108766694531330,2025-10-06 08:00:00+00:00,"今夜は中秋の名月🌕
月見のお供はマクドナルドの月見バーガー！

【#中秋の名月はマックでお月見】をつけて本日10/6(月)中にリプライすると、抽選で100名様に1,000円分のマックカードが当たる！",5734,12268,9187,1241,178,1083417,9187,5734,8
['1975101217689809407'],1975101217689809407,2025-10-06 07:30:00+00:00,推しケミ布教させて！ https://t.co/oGYfV0ZWiF,302,57,1928,16,50,426702,1928,302,7
['1975093669553115624'],1975093669553115624,2025-10-06 07:00:00+00:00,ブルがベリーですね。 https://t.co/g8dABXuw1v,480,116,9942,78,209,822042,9942,480,7
['1975086121705968112'],1975086121705968112,2025-10-06 06:30:01+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
https://t.co/9nsbBgcSYQ",223,24,1503,1,58,537877,1503,223,6
['1975086118585466908'],1975086118585466908,2025-10-06 06:30:00+00:00,"全身グリーンさんとの撮影風景
#櫻坂46 #谷口愛季 #セット500新CMメイキング #500円台のセットが5種類 https://t.co/HrWdicLcWr",1513,100,13037,228,989,914341,13037,1513,6
['1975078569383460985'],1975078569383460985,2025-10-06 06:00:00+00:00,サクとろ。三角チョコパイ 黒。 https://t.co/NR1pQz3aJp,1156,79,11233,259,148,521961,11233,1156,6
['1975048370545635826'],1975048370545635826,2025-10-06 04:00:00+00:00,"じつは…
サムライマック®︎新テレビCMに出演した
池田瑛紗さんの中にも
サムライがいたんです。
#乃木坂46 https://t.co/rwRamAzHVH",1543,147,13894,242,501,1185270,13894,1543,4
['1975040820311994814'],1975040820311994814,2025-10-06 03:30:00+00:00,"チラッ👽

10/8(水)〜
#ミュージックバリュー
※一部店舗では放送しておりません。 https://t.co/jJk8unyn4Z",301,100,2439,150,46,593075,2439,301,3
['1975025719789961356'],1975025719789961356,2025-10-06 02:30:00+00:00,"明日10/7(火)から新テレビCM放送開始
「二兎を追ってもいいじゃないか。」
出演：堺雅人、乃木坂46 池田瑛紗 https://t.co/ZDLAe5Lxvy",1484,121,8641,114,551,652309,8641,1484,2
['1975018169031934027'],1975018169031934027,2025-10-06 02:00:00+00:00,三角チョコパイ発売まで、あと2日！ https://t.co/BL9Pxu1vLE,2236,77,20620,600,442,1046134,20620,2236,2
['1974957774158078223'],1974957774158078223,2025-10-05 22:00:00+00:00,404姉さんの腹ごしらえ。 https://t.co/ANgNUFcU2j,1422,112,3591,248,381,922394,3591,1422,22
['1974746378120151196'],1974746378120151196,2025-10-05 08:00:00+00:00,食べたくなってきました？△🍓 https://t.co/jhajMmoyNe,1890,180,18803,1006,568,7097339,18803,1890,8
['1974716186744037534'],1974716186744037534,2025-10-05 06:00:02+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
https://t.co/9nsbBgcSYQ",183,10,992,4,47,588296,992,183,6
['1974716180372828557'],1974716180372828557,2025-10-05 06:00:00+00:00,"『セット500』とは何か、ご説明いたしましょう！
#櫻坂46 #谷口愛季 #500円台のセットが5種類 https://t.co/c6yWH2X2x3",1380,62,9276,147,654,555817,9276,1380,6
['1974685982428471676'],1974685982428471676,2025-10-05 04:00:00+00:00,三角チョコパイ発売まで、あと3日！ https://t.co/mkQ80HiuDi,3699,110,32391,1364,751,1701590,32391,3699,4
['1974678432387654108'],1974678432387654108,2025-10-05 03:30:00+00:00,青いマックの日って、どんな日？,201,36,1468,13,45,491723,1468,201,3
['1974640681676095716'],1974640681676095716,2025-10-05 01:00:00+00:00,推しのシールでオシャレ度アップ！ https://t.co/BM5sRp9AX0,914,49,9330,203,472,886330,9330,914,1
['1974376443640516625'],1974376443640516625,2025-10-04 07:30:00+00:00,"特大満足感！

この投稿に【#ポテナゲ特大が特大すぎる】をつけて本日10/4(土)中にリプライすると、抽選で2日合計100名様に1,000円分のマックカードをプレゼント。

詳細は画像をタップ！",9714,15775,13564,2516,338,2217159,13564,9714,7
['1974361347023327455'],1974361347023327455,2025-10-04 06:30:01+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
#セット500 #500円台のセットが5種類 
https://t.co/9nsbBgcSYQ",159,27,972,4,50,605473,972,159,6
['1974361344594841669'],1974361344594841669,2025-10-04 06:30:01+00:00,"ハンバーガーセットも『セット500』です！
#櫻坂46 #谷口愛季 https://t.co/9nEkuxdnBy",1042,77,8013,45,257,534423,8013,1042,6
['1974353792213610637'],1974353792213610637,2025-10-04 06:00:00+00:00,"もうすぐ、あの季節です。

この投稿に【 #三角チョコパイ早く食べたい 】をつけてリプライすると抽選で100名様に1,000円分のマックカードが当たる！",6475,13136,15482,2085,336,1615952,15482,6475,6
['1974338693193244947'],1974338693193244947,2025-10-04 05:00:00+00:00,"🍄「みんなが続々と変身してるみたい！」
🔥「 #青いリアタイマクパ が待ちきれない〜！」",75,53,702,1,13,351731,702,75,5
['1974331149540327909'],1974331149540327909,2025-10-04 04:30:02+00:00,"セット500新CM
「いつでもそばに」休日篇

Cast：櫻坂46 谷口愛季
Music：ツギハギスタッカート
Illust：湯久田 風(@fukago17)
Background：ユウキナオヒロ(@naohiro0887)
Special Thanks：浦浦 浦ちゃん(@urachan1629)
#櫻坂46 #谷口愛季 #ツギハギスタッカート
#500円台のセットが5種類",128,23,721,3,26,338847,721,128,4
['1974331146520453622'],1974331146520453622,2025-10-04 04:30:01+00:00,"休日の昼下がり、少年との出会い
#ツギハギスタッカート #谷口愛季 https://t.co/JnSgOHF4Yh",1241,52,7431,94,447,532831,7431,1241,4
['1974323595124912337'],1974323595124912337,2025-10-04 04:00:00+00:00,どっちも食べちゃってもいいんですよ。 https://t.co/0B1TD9A0Fk,536,110,17757,156,128,889922,17757,536,4
['1974308492639883449'],1974308492639883449,2025-10-04 03:00:00+00:00,お腹の「ぐぅ～」は500円のマックチキン®セットのお知らせ！ https://t.co/BeK0xAJhF7,130,40,1092,14,15,352932,1092,130,3
['1974300944893440313'],1974300944893440313,2025-10-04 02:30:00+00:00,よけろーーーーーー！！！ https://t.co/xCCztGf0eq,86,54,884,9,22,363547,884,86,2
['1974293393070051411'],1974293393070051411,2025-10-04 02:00:00+00:00,クロミちゃんはブルーベリーもよく似合うね！ https://t.co/Aeadfsi3K5,985,59,8894,40,256,497337,8894,985,2
['1974285847143801048'],1974285847143801048,2025-10-04 01:30:01+00:00,"「食欲をそそりますよね！」な、
MAYA x COCONA セット！ https://t.co/YiYPQYuh6T",737,97,5383,83,189,638324,5383,737,1
['1974278297350451439'],1974278297350451439,2025-10-04 01:00:01+00:00,"すごいすごぉ〜い！

クーポン詳細は画像をタップ！",340,98,2063,31,130,475357,2063,340,1
['1974270746563113254'],1974270746563113254,2025-10-04 00:30:00+00:00,詳しくは画像をタップ！,65,64,553,4,14,328684,553,65,0
['1974066909088796758'],1974066909088796758,2025-10-03 11:00:02+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
#セット500 #500円台のセットが5種類
https://t.co/9nsbBgcSYQ",177,23,1033,2,42,610670,1033,177,11
['1974066906819711487'],1974066906819711487,2025-10-03 11:00:01+00:00,"大好きなエグチセットで笑顔の谷口さん
#セット500 #櫻坂46 #谷口愛季 https://t.co/xJURdBRIQW",1492,71,12708,192,468,648279,12708,1492,11
['1974036707973443788'],1974036707973443788,2025-10-03 09:00:01+00:00,"セット500新CM
「いつでもそばに」雨の夜篇

Cast：櫻坂46 谷口愛季
Music：ツギハギスタッカート
Illust：湯久田 風(@fukago17)
Background：ユウキナオヒロ(@naohiro0887)
Special Thanks：浦浦 浦ちゃん(@urachan1629)
#櫻坂46 #谷口愛季 #ツギハギスタッカート
#500円台のセットが5種類",163,14,777,2,31,312521,777,163,9
['1974036704840352073'],1974036704840352073,2025-10-03 09:00:00+00:00,"夜の雨宿り
#ツギハギスタッカート #谷口愛季 https://t.co/VrxpOzTYR8",1707,71,9834,144,592,520990,9834,1707,9
['1974021602477019343'],1974021602477019343,2025-10-03 08:00:00+00:00,どっちから食べようか、悩ましいですよね。 https://t.co/vrYxoIncpE,3306,239,52721,933,896,12230526,52721,3306,8
['1974014056357847298'],1974014056357847298,2025-10-03 07:30:01+00:00,マックチキン®セット、部活帰りも500円。 https://t.co/Nv2HvUiht5,328,90,2532,40,59,486524,2532,328,7
['1973991404050190429'],1973991404050190429,2025-10-03 06:00:00+00:00,"マクドナルドで食べられる→

←Myマクドナルド リワードでもらえる
※数量限定です。",426,107,2815,63,107,533236,2815,426,6
['1973976307395367187'],1973976307395367187,2025-10-03 05:00:01+00:00,"🦄「 #青いリアタイマクパ もうすぐだね！」
💎「変身したみんなに会えるの楽しみだ〜」
🐿️「私たちの宇宙人アバターどうかな？😂」",103,54,851,1,24,360170,851,103,5
['1973961204226814048'],1973961204226814048,2025-10-03 04:00:00+00:00,"伊藤沙莉さん、HANA NAOKOさんが、
「三角チョコパイの季節」の到来を盛大にお祝いしています！ https://t.co/mrhQqvhXak",2772,125,26054,392,993,1785512,26054,2772,4
['1973915909333930309'],1973915909333930309,2025-10-03 01:00:01+00:00,"「一緒に楽しく食べられますね！」な、
HINATA x HARVEY x JURIA セット！ https://t.co/uTWjNIO1nl",990,53,7018,125,338,546305,7018,990,1
['1973885708185006242'],1973885708185006242,2025-10-02 23:00:00+00:00,"来たぞ！来たぞ！来たぞ！
トリプル肉厚ビーフ。
10/8(水)から期間限定で販売決定！ https://t.co/4eLfUA36gA",3046,230,13752,951,804,1381577,13752,3046,23
['1973878157594816918'],1973878157594816918,2025-10-02 22:30:00+00:00,あ…！ https://t.co/ZLxb0Iusyb https://t.co/coLXcYPzWe,2791,554,29827,1150,884,5574446,29827,2791,22
['1973870608506040566'],1973870608506040566,2025-10-02 22:00:00+00:00,"新CM
「二兎を追ってもいいじゃないか。」
出演：堺雅人、乃木坂46 池田瑛紗 https://t.co/vTfVmOYwNP",3348,248,15019,658,1093,1140569,15019,3348,22
['1973666766942257514'],1973666766942257514,2025-10-02 08:30:00+00:00,"櫻坂46 谷口愛季さんにご出演いただいている
セット500新CMはこちらからご覧ください↓
#セット500 #500円台のセットが5種類
https://t.co/9nsbBgcSYQ",282,23,1820,1,94,662364,1820,282,8
['1973666764526338498'],1973666764526338498,2025-10-02 08:30:00+00:00,"長いポテト！
#櫻坂46 #谷口愛季 #セット500 https://t.co/6qd3r6Xzwo",1883,97,15417,167,531,695704,15417,1883,8
['1973651664956473546'],1973651664956473546,2025-10-02 07:30:00+00:00,3pickこれでいきます！(1pickならエグチ推し) https://t.co/QuMlNAcIDP,187,103,1640,20,28,464829,1640,187,7
['1973644119936250207'],1973644119936250207,2025-10-02 07:00:01+00:00,"セット500新CM
「いつでもそばに」夕方篇

Cast：櫻坂46 谷口愛季
Music：ツギハギスタッカート
Illust：湯久田 風(@fukago17)
Background：ユウキナオヒロ(@naohiro0887)
Special Thanks：浦浦 浦ちゃん(@urachan1629)
#櫻坂46 #谷口愛季 #ツギハギスタッカート
#500円台のセットが5種類",204,23,1269,3,50,364819,1269,204,7
['1973644116916326891'],1973644116916326891,2025-10-02 07:00:00+00:00,"みんなの放課後
#ツギハギスタッカート #谷口愛季 https://t.co/77eX5VYzSS",2129,71,11999,152,755,611052,11999,2129,7
['1973629016855699609'],1973629016855699609,2025-10-02 06:00:00+00:00,"RT @MSC_Japan: MSC、ASCラベルを選んで守ろう、魚の未来🐟
「サステナブル・シーフード・ウィーク 2025」開催！

MSCのオンラインガチャを回すと、
MSCラベル付き商品のイラストが出てくる。
さらに当たり表示が出ると、海や魚に関連したプレゼントがもらえま…",24,0,0,0,0,6,0,24,6
