created_at,id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
2025-10-10 01:00:00+00:00,1976452622707220943,['1976452622707220943'],"本日(10/10)、『#アサイーベリーフラペチーノ®』（通称 #黒猫フラペチーノ®）がSTART🐈‍⬛🖤

甘酸っぱいアサイーベリーと、ザクっと食感のブラッククランチが楽しめる一杯です。
仕上げには、猫耳チョコレートが🍫✨

黒猫と一緒に、遊び心あふれるひとときを楽しみませんか？🐾
https://t.co/fYL8ZKdfK9 https://t.co/tlcMnk62Wl",8212,160,35548,2182,1387,2814230,35548,8212,1
2025-10-09 03:00:00+00:00,1976120433633263634,['1976120433633263634'],"「どこに隠れているのかにゃ？🐾」
明日10/10、#アサイーベリーフラペチーノ®（ #黒猫フラペチーノ®）が登場🐈‍⬛🖤
待ちきれない黒猫たちが、ひと足早くお店に…✨

黒猫は全部で5匹。
タッチして見つけられるかにゃ🔍
#黒猫さがし",819,37,4672,45,236,1276380,4672,819,3
2025-10-09 01:01:01+00:00,1976090490371178558,['1976090490371178558'],"RT @starbucks_j_cpg: #スターバックス で初めての自動販売機限定ペットボトル✨
『スターバックス® MY RETREAT™ キャラメルマキアート』が新発売💛

キャラメルとミルクのクリーミーな甘さに、重なるコーヒーの深み☕
心をふんわりと満たす贅沢な味わいで…",518,0,0,0,0,65,0,518,1
2025-10-07 09:00:02+00:00,1975486263391330583,['1975486263391330583'],"本日(10/7) 19:00～、今年のハロウィンを盛り上げる黒猫モチーフのグッズや 『#アサイーベリーフラペチーノ®』（通称 #黒猫フラペチーノ®）をひと足早くご紹介🐈‍⬛🐾
みなさまからのご質問やコメントもお待ちしています😊

▼LIVE配信はこちら
https://t.co/H8Zn9qOoBk https://t.co/KWSVIWdkYL",867,33,5501,187,277,810123,5501,867,9
2025-10-07 03:00:07+00:00,1975395687618765237,['1975395687618765237'],"MEOOW🐈‍⬛👻
いたずら好きな黒猫とゴーストが共演するハロウィングッズが登場🖤
暗闇で怪しげに光る遊び心あふれるアイテムも💫

10/7(火)20:00～オンラインストア先行販売、
10/10(金)全国のお店に並びます

みなさんはどれが気になりますか🐾 https://t.co/QuVjhrlZlZ",1939,71,10434,429,655,1826354,10434,1939,3
2025-10-06 09:01:01+00:00,1975124120754106685,['1975124120754106685'],"10/10、『#アサイーベリーフラペチーノ®』（通称 #黒猫フラペチーノ®）START🐈‍⬛🖤

黒猫から届く秘密の画像は全５種✨
コンプリートできた方はいますか？✋

リポスト🔁＆元の👇投稿に『#黒猫フラペチーノ®』をつけてコメントするごとに、異なる秘密の画像をお届けします🐾 https://t.co/k3fNfuDAje",2509,283,9796,229,293,1667303,9796,2509,9
2025-10-06 01:30:03+00:00,1975010631632990229,['1975010631632990229'],"秘密の画像は全部で５種類🖤

「もっと見たい」という方は、この投稿に『#黒猫フラペチーノ®』をつけてコメントしてください💬
楽しみ度も🐈‍⬛の絵文字の数で教えて✨",314,1143,2052,64,57,680733,2052,314,1
2025-10-06 01:30:00+00:00,1975010620505514054,['1975010620505514054'],"暗闇から忍び寄る影…🐾

10/10(金)『アサイー ベリー フラペチーノ®』（通称 黒猫フラペチーノ®）が新登場🐈‍⬛🖤
甘酸っぱいアサイーベリー×ザクっとクランチ、猫耳チョコレートが妖しく煌めく一杯です✨

リポスト🔁すると、
黒猫がそっと姿を現し、あなたに秘密の画像が届くかも…🐈‍⬛🐾 https://t.co/ruh5t9h6eP",91939,1707,182250,15819,11420,26337168,182250,91939,1
2025-10-05 03:00:03+00:00,1974670893902365003,['1974670893902365003'],"🐾
　   🐾
🐾
   　🐾
🐾
   　 🐾
🐾
   　 🐾
2025.10.10(Fri)
Coming soon…🖤 https://t.co/7Ztk7nMIgI",7557,194,42679,1738,1578,3697400,42679,7557,3
2025-10-03 07:01:01+00:00,1974006758738960827,['1974006758738960827'],"RT @starbucks_j_cpg: #スターバックス の味わいが、ネスプレッソ「ヴァーチュオ」専用カプセルとして10/2に新登場✨
やわらかい口あたりのクレマと、香り豊かなアロマをお楽しみいただけます☕

一日のさまざまなシーンに合わせて、ドリップとはひと味違う新しいアロ…",93,0,0,0,0,82,0,93,7
2025-10-03 01:01:00+00:00,1973916158693945684,['1973916158693945684'],"ピケ モコ ブーケ &amp; ティー ラテ はもう飲まれましたか？🥤

ふわふわなアールグレイフレーバームースの上に、もこもこな素材感をイメージしたスポンジケーキクラムと、やさしい甘さのピケベアチョコレートをトッピング🧸☁️ https://t.co/VoRx8KS2NJ",1090,59,7587,271,380,1658339,7587,1090,1
2025-09-30 03:02:01+00:00,1972859449510670567,['1972859449510670567'],"秋の深まりとともに、食欲も増すこの季節🍂
お店には、新しい秋の味覚が並びました。
コーヒーと相性ぴったりのデザート、今日はどちらを楽しみたいですか？☕️

🌰 #手しぼり栗のモンブラン
🍎 #青森県産2種のりんごカスタードアップルパイ https://t.co/DguMYDMLZ9",1773,104,11309,364,417,1808727,11309,1773,3
