created_at,text,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,article.title,likes,retweets,hour
2025-10-11 15:07:33+00:00,FSD Supervised saves lives https://t.co/meeQjfXXel,['1977028303229010276'],1977028303229010276,76,83,645,5,22,50038,,645,76,15
2025-10-10 18:44:52+00:00,360° recordings of what happens around your vehicle https://t.co/Xqja0072eD,['1976720606143115356'],1976720606143115356,349,159,3905,17,59,508068,,3905,349,18
2025-10-10 14:02:54+00:00,"To enable → 

Toybox &gt; Tron",['1976649647402975722'],1976649647402975722,103,71,1307,8,52,143784,,1307,103,14
2025-10-10 13:30:00+00:00,The grid has expanded to your Tesla — Tron: Ares update rolling out now https://t.co/oQvYSAFuLM,['1976641367183917389'],1976641367183917389,1412,867,11840,424,828,1149832,,11840,1412,13
2025-10-09 19:35:44+00:00,Model S showed the world what an electric car could be https://t.co/Cbxg8UI2Uk,['1976371015761748315'],1976371015761748315,1418,486,11021,37,197,2282487,,11021,1418,19
2025-10-09 17:21:57+00:00,"At Tesla, we reward talent &amp; dedication with an opportunity to earn equity that can change your life

Hear from Sara, a Maintenance Technician at Giga Texas, and how her hard-earned Tesla stock empowered her to provide for her family

To support our mission &amp; enable us to https://t.co/aJSBCM9f4C",['1976337351413834062'],1976337351413834062,1694,512,9158,85,401,1433881,,9158,1694,17
2025-10-08 04:12:52+00:00,@JustinPacheco29 @chazman @DirtyTesLa @WholeMarsBlog @AIDRIVR @BLKMDL3 They rock,['1975776383017288000'],1975776383017288000,8,10,122,2,1,8471,,122,8,4
2025-10-08 02:58:40+00:00,📍 https://t.co/BwwcN9RKIu,['1975757710114292200'],1975757710114292200,272,65,1581,8,24,330963,,1581,272,2
2025-10-08 02:35:51+00:00,Vision only https://t.co/oT76oAyqT5,['1975751969705689352'],1975751969705689352,279,47,1440,7,31,389196,,1440,279,2
2025-10-08 02:35:51+00:00,Almost sentient https://t.co/bcEgY7mBah,['1975751966866170281'],1975751966866170281,16,9,672,2,10,113662,,672,16,2
2025-10-08 02:35:50+00:00,It knows https://t.co/ezkF46hiQy,['1975751964483785163'],1975751964483785163,18,3,596,1,4,35496,,596,18,2
2025-10-08 02:35:50+00:00,Squeezing through no prob https://t.co/TUHC3jpmpn,['1975751962395103480'],1975751962395103480,16,3,583,1,3,37872,,583,16,2
