edit_history_tweet_ids,id,created_at,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
['1976690899682722208'],1976690899682722208,2025-10-10 16:46:50+00:00,"@millajones99 This isn't the service we expect. Please DM us with the location and your email or phone number, so we can look into this further.",0,0,0,0,0,138,0,0,16
['1976679107464143237'],1976679107464143237,2025-10-10 15:59:58+00:00,"@coreyislit Oh no! Thank you for bringing this to our attention. Please DM us with the details of your order and your best contact, so we can follow up to make this right.",0,2,0,0,0,147,0,0,15
['1976634283163877817'],1976634283163877817,2025-10-10 13:01:51+00:00,@Belladumbcat Hello! Thank you for reaching out to us. Please DM us with your order details if possible. Thanks!,0,1,0,0,0,138,0,0,13
['1976633215138812059'],1976633215138812059,2025-10-10 12:57:37+00:00,@AnthonyLealStan Hello! Thank you for reaching out to us. Please DM us with your order details if possible. Thanks!,0,0,0,0,0,121,0,0,12
['1976069263174823978'],1976069263174823978,2025-10-08 23:36:40+00:00,@chickenbro_ Oop,0,0,1,0,0,802,1,0,23
['1976069213690499240'],1976069213690499240,2025-10-08 23:36:28+00:00,@2bCarlisa Nooooo,0,2,0,0,0,662,0,0,23
['1976069115736670253'],1976069115736670253,2025-10-08 23:36:05+00:00,@Epsilon4041223 LET ME GET BACK TO U ON THAT,0,3,27,0,1,8698,27,0,23
['1976068965274361961'],1976068965274361961,2025-10-08 23:35:29+00:00,@NoBanksNearby Oop,1,0,7,0,1,13450,7,1,23
['1976068937004859769'],1976068937004859769,2025-10-08 23:35:22+00:00,@dylan__cates Have what,0,0,13,0,0,12803,13,0,23
['1976068898610114569'],1976068898610114569,2025-10-08 23:35:13+00:00,@sanmapel Highest compliment,1,0,80,0,1,12004,80,1,23
['1976068792955580846'],1976068792955580846,2025-10-08 23:34:48+00:00,@suttonsroller She’s bb gorgeous ofc 🥰,10,8,341,0,2,19054,341,10,23
['1976061706464866775'],1976061706464866775,2025-10-08 23:06:38+00:00,"@cemeterybluntz_ That is definitely not okay.  Please DM us with the exact location that you visited, as well as your name and email address, so that we can have someone from their leadership follow up with you.",0,1,1,0,0,329,1,0,23
['1976057070555132086'],1976057070555132086,2025-10-08 22:48:13+00:00,Canceling my hair appointment at angie’s 1.5 salons https://t.co/9IB7oBIFbr,136,203,1681,72,98,1027404,1681,136,22
['1975991129108631875'],1975991129108631875,2025-10-08 18:26:11+00:00,@Jadetruther I’VE BEEN SAYING THIS,1,1,9,1,0,656,9,1,18
['1975990922749124757'],1975990922749124757,2025-10-08 18:25:22+00:00,@thegymslam I don’t hate it??,0,2,30,0,0,2564,30,0,18
['1975893673612067237'],1975893673612067237,2025-10-08 11:58:56+00:00,"@wudenski HI there, please DM us the email address associated with your account. Thanks!",0,1,1,0,0,280,1,0,11
['1975893306484654230'],1975893306484654230,2025-10-08 11:57:29+00:00,@lavenderfiggly We are sorry to hear that. Please DM us the email address associated with your account. Thanks!,0,1,1,0,0,265,1,0,11
['1975531550788768018'],1975531550788768018,2025-10-07 11:59:59+00:00,"@mattcupp83 We are sorry to hear that. A report has been sent out to the upper management team, so they can improve. Have a great rest of your day!",0,1,1,1,0,349,1,0,11
['1975262945870303565'],1975262945870303565,2025-10-06 18:12:39+00:00,@Anthony_Siemsen We are sorry to hear that. Please DM us the address of this location and the date/time of your visit. Thanks!,0,2,0,0,0,419,0,0,18
['1975210196050870446'],1975210196050870446,2025-10-06 14:43:03+00:00,@Jcutepsycho We're sorry to see this. Please send us a DM with your email for further assistance.,0,2,0,0,0,402,0,0,14
['1975042254138998936'],1975042254138998936,2025-10-06 03:35:42+00:00,"@412Sports_ We certainly don’t like to hear that. Please DM us the full address of the location you visited, along with your first and last name, phone number and email address so we can have someone follow up with you.",0,1,3,0,0,453,3,0,3
['1974572203313164702'],1974572203313164702,2025-10-04 20:27:53+00:00,@Aubrey18921991 Sorry to hear that. Please provide the email address linked to your account OR the ten digit order number for that order.,0,0,0,0,0,498,0,0,20
['1974449295291031707'],1974449295291031707,2025-10-04 12:19:30+00:00,"@THE_AMAZING_SB That is not okay! Please DM us the time and date of your visit, so we can look into this further. Thanks!",0,3,0,0,0,526,0,0,12
['1974170466798493901'],1974170466798493901,2025-10-03 17:51:32+00:00,"@sallimonychiile This isn’t the quality we’d expect. Please DM us with info on this location, along with your contact information, and we'll make it up to you.",0,1,0,0,0,758,0,0,17
['1974169944922210464'],1974169944922210464,2025-10-03 17:49:27+00:00,"@ollyoceango This isn't the service we expect. Please DM us with the location and your email or phone number, so we can look into this further.",0,0,0,0,0,549,0,0,17
['1973858817113747798'],1973858817113747798,2025-10-02 21:13:09+00:00,"@Jules7294459470 That is definitely not okay.  We will submit these details to the needed senior leadership. Please DM us your contact information, so we can have them follow up with you.",0,1,0,0,0,556,0,0,21
['1973836772158115885'],1973836772158115885,2025-10-02 19:45:33+00:00,@emiZOMBIE That is not okay! Please DM us the address of the location visited and your contact information. Thanks!,0,1,1,0,0,531,1,0,19
['1973819357881860410'],1973819357881860410,2025-10-02 18:36:21+00:00,@TKaneaf Please DM us the date and time of your visit. Also tell us about your visit. Thanks!,0,0,1,0,0,456,1,0,18
['1973813258038493298'],1973813258038493298,2025-10-02 18:12:07+00:00,@nickoliver1982 We are sorry to hear that. If this was a mobile order please DM us the email address associated with your account. Thanks!,0,0,2,0,0,428,2,0,18
['1973794689653309914'],1973794689653309914,2025-10-02 16:58:20+00:00,@Logan_C67 Thank you for bringing this to our attention. We’ve documented your feedback in our system and with the leadership team that oversees the restaurant.,0,1,1,0,0,393,1,0,16
['1973545788501336157'],1973545788501336157,2025-10-02 00:29:17+00:00,@LaydeeX31 That is definitely not okay.  Please DM us with the email address linked to your account OR the ten digit order number for that order.,0,0,0,0,0,435,0,0,0
['1973427412244344938'],1973427412244344938,2025-10-01 16:38:54+00:00,@jlfenlock We're disappointed to hear this. Please DM us so we can further assist you. Thanks!,0,1,1,0,0,451,1,0,16
['1973361374454591824'],1973361374454591824,2025-10-01 12:16:29+00:00,@TBones2993 We are sorry to hear that. Please DM us the address of this location and the date of your visit. Thanks!,1,0,1,0,0,1116,1,1,12
['1973221164479553538'],1973221164479553538,2025-10-01 02:59:20+00:00,"@BrianStrauch10 Oh no! Please DM us the restaurant location and your contact information, so we can make this right. Thanks!",0,1,1,0,0,411,1,0,2
['1973206774866977107'],1973206774866977107,2025-10-01 02:02:10+00:00,"@SorthG This isn’t the quality we’d expect. Please DM us with info on this location, along with your contact information, and we'll make it up to you.",0,0,0,0,0,376,0,0,2
['1973205708804891080'],1973205708804891080,2025-10-01 01:57:56+00:00,"@thecaracavalli Thanks for alerting us to this. Please DM us the restaurant location and your phone #, so we can look into this further.",0,0,0,0,0,370,0,0,1
['1973203783292240101'],1973203783292240101,2025-10-01 01:50:16+00:00,"@coolpete100 This isn't the service we expect. Please DM us your name and email or phone number, so we can look into this further.",0,0,0,0,0,330,0,0,1
['1973188547633910084'],1973188547633910084,2025-10-01 00:49:44+00:00,"@VinnyP40284 We're disappointed to see this, we'd like to gather some additional details about your visit. Please DM us with the restaurant location and your email, so that we can follow up to make things right.",0,0,0,0,0,307,0,0,0
['1973181241357734085'],1973181241357734085,2025-10-01 00:20:42+00:00,@imfungery Thanks for alerting us to this. Please DM us the restaurant location and your phone # so we can look into this further.,0,0,0,0,0,280,0,0,0
['1973086103239307315'],1973086103239307315,2025-09-30 18:02:39+00:00,@Jacob31816758 We are sorry to hear that. If this was a mobile order please DM us the email address associated with your account. Thanks!,0,1,0,0,0,382,0,0,18
['1972701359913746731'],1972701359913746731,2025-09-29 16:33:49+00:00,"@Aurora900 That is not okay! Please DM us the address of this location, the date of your visit, along with your name and contact information. Thanks!",0,0,3,0,0,461,3,0,16
['1972421941156798597'],1972421941156798597,2025-09-28 22:03:31+00:00,"@akusokuzan0 We certainly don’t like to hear that. Please DM us the full address of the location you visited, along with your first and last name, phone number and email address so we can have someone follow up with you.",0,1,0,0,0,461,0,0,22
['1971713011560698182'],1971713011560698182,2025-09-26 23:06:29+00:00,@AltimitWill1984 Thank you for making us aware of these issues. We have submitted these details to the senior leadership for that franchise.,0,1,1,0,0,591,1,0,23
['1971668350490013734'],1971668350490013734,2025-09-26 20:09:01+00:00,@BriGriffith That's not okay! Please DM us the restaurant location along with your contact info so we can look into this further.,0,0,1,0,0,610,1,0,20
['1971313520500232421'],1971313520500232421,2025-09-25 20:39:03+00:00,@IreneK24 Please DM us the address of this location along with your contact information. Thanks!,0,0,0,0,0,560,0,0,20
['1971310199529934964'],1971310199529934964,2025-09-25 20:25:51+00:00,"@Agent217217 Hi there, Please DM us and tell us about your visit. Thanks!",0,0,0,0,0,527,0,0,20
['1971278646888341985'],1971278646888341985,2025-09-25 18:20:28+00:00,@jgoffio3 That is definitely not okay.  Please DM us the email address linked to your account OR the ten digit order number for that order.,0,0,1,0,0,505,1,0,18
['1970821830945477103'],1970821830945477103,2025-09-24 12:05:15+00:00,@bochia We are sorry to hear that. If this was a mobile order please DM us the email address associated with you account. Thanks!,0,1,1,0,0,928,1,0,12
['1970639473068106127'],1970639473068106127,2025-09-24 00:00:37+00:00,@mhshsbbenna This isn't the service we expect. Please DM us with the location and your email or phone number so we can look into this further.,0,0,0,0,0,591,0,0,0
['1969800274840596608'],1969800274840596608,2025-09-21 16:25:57+00:00,"@rkennell This isn’t the quality we’d expect. Please DM us with info on this location, along with your contact information, and we'll make it up to you.",0,0,1,0,0,789,1,0,16
['1969408851972591927'],1969408851972591927,2025-09-20 14:30:34+00:00,"@Mixilplix6 Hi there! Send us a DM, we'd like to assist you further.",0,0,0,0,0,775,0,0,14
['1969374619439185931'],1969374619439185931,2025-09-20 12:14:33+00:00,"@michelleeamour Hi there, please DM us your contact information. We will have the GM reach out and assist you with a refund. Thanks!",0,0,1,0,0,662,1,0,12
['1968664749467476145'],1968664749467476145,2025-09-18 13:13:46+00:00,"@Jethus__Cwist Sorry to see this! DM us, we'd like to gather some additional information about your visit.",0,0,3,0,0,927,3,0,13
['1968142282109964419'],1968142282109964419,2025-09-17 02:37:41+00:00,@Untamed402 Thanks for alerting us to this. Please DM us the restaurant location and your phone # so we can look into this further.,0,3,6,0,0,1137,6,0,2
['1967920637814468851'],1967920637814468851,2025-09-16 11:56:56+00:00,@raven__tresses We are sorry to hear that. If this was a mobile order please DM us the email address associated with your account. Thanks!,0,1,0,0,0,1028,0,0,11
['1967562478692245811'],1967562478692245811,2025-09-15 12:13:45+00:00,@saiyanspartan26 We are sorry to hear that. Please DM us the address of this location and the date/time of your visit. Thanks!,0,0,0,1,0,1038,0,0,12
['1967282240288588112'],1967282240288588112,2025-09-14 17:40:11+00:00,"@the_q_478 We're disappointed to see this, we'd like to gather some additional details about your experience. Please DM us with your email so that we can look into this further.",0,0,1,0,0,1061,1,0,17
['1967266924640759835'],1967266924640759835,2025-09-14 16:39:19+00:00,"@NBAReezy15 We'd love to make this right. DM us with info on this location, along with your email, and we'll make it up to you.",0,0,1,0,0,925,1,0,16
['1967261287055856086'],1967261287055856086,2025-09-14 16:16:55+00:00,"@ShawtyNotLo This isn't the service we expect. Please DM us with the location and your email or phone number, so we can look into this further.",0,0,1,0,0,863,1,0,16
['1967261003374108752'],1967261003374108752,2025-09-14 16:15:47+00:00,"@MCHRISP1 Oh no! Please DM us the restaurant location and your contact information, so we can make this right. Thanks!",0,1,2,0,0,833,2,0,16
['1967259987744317722'],1967259987744317722,2025-09-14 16:11:45+00:00,@BalaunS Thank you for bringing this to our attention. We will forward this to the proper team to be addressed.,0,0,1,0,0,744,1,0,16
['1967007315229343844'],1967007315229343844,2025-09-13 23:27:43+00:00,@the_freij That doesn't look right! Please DM us the restaurant location and your contact information so we can make this right.,0,1,0,0,0,765,0,0,23
['1966586803562889647'],1966586803562889647,2025-09-12 19:36:46+00:00,@TexasTechFal That doesn't look right! Please DM us the restaurant location and your contact information so we can make this right.,0,1,3,0,0,1384,3,0,19
['1966111344085582086'],1966111344085582086,2025-09-11 12:07:27+00:00,"@IsraelDuran We certainly don’t like to hear that. Please DM us the full address of the location you visited, along with your first and last name, phone number and email address so we can have someone follow up with you.",0,0,2,0,0,768,2,0,12
['1965979393601188025'],1965979393601188025,2025-09-11 03:23:08+00:00,"@AnonGhost16 We certainly don’t like to hear that. Please provide us the full address of the location you visited, along with your first and last name, phone number and email address so we can have someone follow up with you.",0,0,1,0,0,759,1,0,3
['1965938538765042021'],1965938538765042021,2025-09-11 00:40:47+00:00,@DFauxens We certainly don’t like to hear that. Please provide us the full address of the location you visited.,0,1,2,1,0,714,2,0,0
['1965849088823537873'],1965849088823537873,2025-09-10 18:45:21+00:00,@moosk_eloo83004 I have one in my room,0,1,2,0,0,1565,2,0,18
['1965824801324552464'],1965824801324552464,2025-09-10 17:08:50+00:00,@Ch9seFan Love this,0,1,2,1,0,1344,2,0,17
['1965824776582365509'],1965824776582365509,2025-09-10 17:08:44+00:00,@ElPooopi Huh,0,1,2,0,0,1287,2,0,17
['1965824704587104530'],1965824704587104530,2025-09-10 17:08:27+00:00,@HostXweb3 🫠,0,1,1,0,0,1649,1,0,17
['1965824608017514553'],1965824608017514553,2025-09-10 17:08:04+00:00,@MeowMetaX You’ll have to discover it for yourself,0,0,1,0,0,1653,1,0,17
['1965824518603342054'],1965824518603342054,2025-09-10 17:07:43+00:00,@swangentr Everything I do is bacon fueled,0,0,2,0,0,1569,2,0,17
['1965824467223064757'],1965824467223064757,2025-09-10 17:07:30+00:00,@TeamTrackhouse U HEARD IT HERE FOLKS,0,2,3,0,1,1865,3,0,17
['1965809853797904737'],1965809853797904737,2025-09-10 16:09:26+00:00,@MarcusKeys8 Hello! Thank you for reaching out to us. Please DM with your order details if possible. Thanks!,0,1,0,0,0,588,0,0,16
['1965532078730100759'],1965532078730100759,2025-09-09 21:45:40+00:00,@skyline987 Hello! Thank you for reaching out to us! Please DM us with your order details if possible. Thanks!,0,1,1,0,0,641,1,0,21
['1965423062154924241'],1965423062154924241,2025-09-09 14:32:28+00:00,"Yeah, crazy. I can already smell the bacon. https://t.co/TdIN8Y6f3A",33,189,302,3,5,125861,302,33,14
['1965161369226895410'],1965161369226895410,2025-09-08 21:12:36+00:00,"@GDIndyJules That is definitely not okay.  Please DM us with the exact location that you visited, so we can lift this up to the needed leadership.",0,1,1,0,0,678,1,0,21
['1964741523691504094'],1964741523691504094,2025-09-07 17:24:17+00:00,"@mr_Croos That doesn't look right! Please DM us the restaurant location and your contact information, so we can make this right.",0,3,0,0,0,717,0,0,17
['1964163965337952386'],1964163965337952386,2025-09-06 03:09:16+00:00,@DSFraser We're sorry to read this. Please send us a DM for further assistance.,0,0,1,0,0,775,1,0,3
['1963944910228263168'],1963944910228263168,2025-09-05 12:38:49+00:00,"@PaulMatthews520 That doesn't look right! Please DM us the restaurant location and your contact information, so we can make this right.",0,0,2,0,0,773,2,0,12
